V1: index,V9: Life Satisfaction,V10: How Feels abt Neighborhood,V12: Descript of Neighbhood,V15: Satisfaction w Police,V17: Satisfaction w Schools,V20: Probs w Drugs,V21: Get along w Police,V29: Current Religion,V31: Attend Church Frequency,V33: Importance of Church,V38: How Church most Helpful,V61: R U useful person,V62: R U person of worth,V67: Freq U feel bad abt self,V68: What Makes U Feel Bad,V71: Freq feel good abt U,V72: What makes U feel good,V75: U get what you hoped for?,V76: What hoped for in Life,V78: Better to Plan or Luck,V79: Do Plans Work or Change,V99: Do U have nervous condition,V100: Do nerves keep U from work?,V110: Who helps if U sick,V125: Ever gone to Pub Health Clinic,V126: Health Clinic helpful,V140: Covered by Insurance,V142: How hard to get health care,V146: Past month had $ probs,V148: Past month had job probs,V150: Past month had Family probs,V156: Past month was crime victim,V158: Past month had police prob,V162: Past month had racial probs,V163: Racial probs upsetting?,V301: Employment Status,V314: Pay scale,V315: Pay freq,V344: Job Satisfaction,V368: Poor treatment of Blacks at work,V860: Times Moved,V884: Is Family Close,V908: Marital Status,V947: Do U have a best friend,V962: U have children,V985: How well Done w Jobs,V987: How well Done as Spouse,V988: How well done as Parent,V994: How happy R U,V1011: Freq drink or get high,V1228: Have good friend who is white,V1243: Told child about white people,V1259: Did parents teach U about whites?,V1269: Sex discrim in US real?,V1403: Birth Year,V1411: Voted in last Pres Election,V1416: Closer to Rep or Dem?,V1429: U own your home?,V1434: School Grades Finished,V1444: Edu Summary,V1451: School Grades Finished Spouse,V1470: School Grades Finished Dad,V1475: School Grades Finished Mom,V1491: Racial comp of Neighborhood,V1494: Better or worse $$,V1499: Total Family Income,V1571: Your Birth Order,V1586: Your Sex M-F
1,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,4: Very Dissatisfied,2: Somewhat Satisfied,8: DK,2: Fairly Well,31: Southern Baptist,3: A Few Times a Month - 1 to 3 Times,1: Very Important,01: Gives Advice; Help Solve Problems; Talk..,1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,32: Financial; Amount of Money I Can Make;..,2: Gotten less than R Hoped for,02: Financial Security; Money; Be Rich; Well..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,1: Yes,1: A Great Deal,5: No,4: Not Hard at All,5: No,1: Yes,5: No,1: Yes,5: No,1: Yes,1: A Great Deal,1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,"0: Inap,..",1: Very Close,1: Married,1: Yes,"00: Inap,..",1: Very Well,1: Very Well,"0: Inap,..",2: Pretty Happy,5: Never,5: No,"0: Inap,..",9: NA,1: Yes,1954,1: Yes,"0: Inap,..",1: Own Home or Buying it,14,"72: Some College (1-3 Years), Degree (Other ..",15,9,15,2: Mostly Blacks,2: Same,"11: $9,000-9,999",3,1: Male
2,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,1: Very Satisfied,1: Very Satisfied,4: Not Serious at All,2: Fairly Well,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,1: Very Important,41: Financial Aid General or Unspecified;..,1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,34: Employment Am Working; Have a..,1: Gotten Mostly What R Hoped for,02: Financial Security; Money; Be Rich; Well..,2: Too Much Luck to Plan,2: Have to Change Plans,1: Yes,3: Not at All,01: (A) Husband/Wife/Partner,5: No,"0: Inap,..",5: No,1: Very Hard,1: Yes,1: Yes,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",4: Very Dissatisfied,5: No,5,1: Very Close,2: Divorced,1: Yes,3,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,1: Yes,1: Yes,"0: Inap,..",5: No,1939,1: Yes,"0: Inap,..",2: Paying Rent,12: Grade 12,"62: 12 Grades, Completed High School; ..","96: Inap,..",9,9,2: Mostly Blacks,2: Same,"07: $5,000-5,999",01: First Born,2: Female
3,1: Very Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,3: Somewhat Dissatisfied,8: DK,8: DK,1: Very Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,01: Gives Advice; Help Solve Problems; Talk..,2: Often True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,45: Functional Independence Physically Able..,2: Gotten less than R Hoped for,31: Marriage (Children or Family Not..,2: Too Much Luck to Plan,1: Carry out Way Expected,5: No,"0: Inap,..",09: (I) Friend,5: No,"0: Inap,..",1: Yes,3: Not Too Hard,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,1: One Time,2: Fairly Close,4: Widowed,1: Yes,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",1: Very Happy,"0: Inap,..",1: Yes,"0: Inap,..",1: Yes,1: Yes,1907,1: Yes,"0: Inap,..",2: Paying Rent,8,"21: 7-8 Grades, No Other ..","96: Inap,..",96: No Father/Father Died and No Codeable ..,98: DK,1: All Blacks,2: Same,"04: $2,000-2,999",3,2: Female
4,2: Some Satisf,1: Very Good,3: Most People Talk or Visit a Lot with the..,1: Very Satisfied,1: Very Satisfied,4: Not Serious at All,2: Fairly Well,62: Holiness,2: At Least Once a Week - 1 to 3 Times,1: Very Important,70: Help Me (Informally) in My..,1: Almost Always True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,53: Having Friends; Visiting/Seeing/Talking..,2: Gotten less than R Hoped for,11: Home Ownership; Buy a House; My Own Home;..,2: Too Much Luck to Plan,2: Have to Change Plans,1: Yes,1: A Great Deal,01: (A) Husband/Wife/Partner,1: Yes,1: A Great Deal,1: Yes,3: Not Too Hard,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",3: Not Too Close,1: Married,5: No,5,1: Very Well,1: Very Well,1: Very Well,1: Very Happy,5: Never,5: No,5: No,"0: Inap,..",1: Yes,1931,1: Yes,"0: Inap,..",2: Paying Rent,9,"31: 9 Grades, No Other ..",4,98: DK,8,2: Mostly Blacks,3: Worse,"03: $1,000-1,999",3,2: Female
5,4: Very Dissat,2: Fairly Good,1: Most People Keep to Themselves and Dont..,8: DK,8: DK,3: Not Too Serious,1: Very Well,11: African Methodist Episcopal; AME Zion,5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,42: Survival/Longevity One Thing I Am..,1: Gotten Mostly What R Hoped for,42: Help/Love/Care for Others; Do Things for..,2: Too Much Luck to Plan,1: Carry out Way Expected,5: No,"0: Inap,..",80: R Said No One,5: No,"0: Inap,..",5: No,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: One Time,3: Not Too Close,4: Widowed,5: No,"00: Inap,..",2: Fairly Well,"0: Inap,..","0: Inap,..",2: Pretty Happy,5: Never,1: Yes,"0: Inap,..",5: No,1: Yes,1898,1: Yes,"0: Inap,..",1: Own Home or Buying it,8,"21: 7-8 Grades, No Other ..","96: Inap,..",98: DK,98: DK,1: All Blacks,3: Worse,"04: $2,000-2,999",7,2: Female
6,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,8: DK,2: Fairly Serious,2: Fairly Well,51: Roman Catholic; Catholic,2: At Least Once a Week - 1 to 3 Times,1: Very Important,"00: Inap,..",2: Often True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,52: Helping Others/Altruism; R Giving..,1: Gotten Mostly What R Hoped for,51: Lead a Moral Life; Lead a Good ..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,1: Yes,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,7: Seven Times or More,1: Very Close,1: Married,1: Yes,3,1: Very Well,2: Fairly Well,2: Fairly Well,2: Pretty Happy,3: Not Too Often,5: No,5: No,"0: Inap,..",1: Yes,1936,1: Yes,"0: Inap,..",2: Paying Rent,16,"81: Bachelors Degree (Except LLB, JD): BS, ..",12: Grade 12,98: DK,4,2: Mostly Blacks,2: Same,"17: $30,000 or More",5,1: Male
7,1: Very Satisf,1: Very Good,3: Most People Talk or Visit a Lot with the..,1: Very Satisfied,1: Very Satisfied,8: DK,2: Fairly Well,"12: Baptist, NA Type",4: A Few Times a Year,1: Very Important,"00: Inap,..",2: Often True,2: Often True,1: Very Often,41: Poor Health; Illness When I Have Pains I..,2: Fairly Often,41: Good Health; Not..,1: Gotten Mostly What R Hoped for,22: Health; I Have Good..,2: Too Much Luck to Plan,9: NA,5: No,"0: Inap,..",03: (C) Daughter/Stepdaughter,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,3: Separated,1: Yes,2,2: Fairly Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,5: No,5: No,"0: Inap,..",8: DK,1922,5: No,"0: Inap,..",2: Paying Rent,5,"11: 1-6 Grades, No Other Schooling; Grade ..","96: Inap,..",98: DK,96: No Mother/Mother Died and No Codeable ..,2: Mostly Blacks,1: Better,"03: $1,000-1,999",01: First Born,2: Female
8,3: Some Dissat,3: Fairly Bad,1: Most People Keep to Themselves and Dont..,3: Somewhat Dissatisfied,8: DK,3: Not Too Serious,2: Fairly Well,80: None; No Preference,5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,"62: Being a (Good) Parent, Providing for..",2: Gotten less than R Hoped for,11: Home Ownership; Buy a House; My Own Home;..,1: Plan Ahead,2: Have to Change Plans,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,5: No,"0: Inap,..",1: Yes,3: Not Too Hard,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",3: Somewhat Dissatisfied,5: No,"0: Inap,..",1: Very Close,5: Never Married,1: Yes,01: One Child,2: Fairly Well,"0: Inap,..",1: Very Well,3: Not Too Happy,5: Never,5: No,5: No,"0: Inap,..",5: No,1954,5: No,"0: Inap,..",2: Paying Rent,12: Grade 12,"52: 12 Grades, Completed High School; ..",12: Grade 12,12: 12 Years,12: 12 Years,1: All Blacks,2: Same,"15: $20,000-24,999",2,2: Female
9,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,2: Somewhat Satisfied,3: Not Too Serious,2: Fairly Well,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,2: Fairly Important,"00: Inap,..",1: Almost Always True,2: Often True,4: Hardly Ever,"00: Inap,..",2: Fairly Often,41: Good Health; Not..,2: Gotten less than R Hoped for,11: Home Ownership; Buy a House; My Own Home;..,1: Plan Ahead,1: Carry out Way Expected,1: Yes,3: Not at All,01: (A) Husband/Wife/Partner,1: Yes,2: A Lot,1: Yes,4: Not Hard at All,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,4: Widowed,5: No,9,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,5: No,5: No,"0: Inap,..",1: Yes,1937,1: Yes,"0: Inap,..",2: Paying Rent,12: Grade 12,"71: Some College (1-3 Years), No Degree (..",10,96: No Father/Father Died and No Codeable ..,11,2: Mostly Blacks,2: Same,"11: $9,000-9,999",80: R Is Only Child; or Coded 80 at QJ6(1),2: Female
10,3: Some Dissat,4: Very Bad,9: NA,4: Very Dissatisfied,9: NA,8: DK,2: Fairly Well,11: African Methodist Episcopal; AME Zion,5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,1: Almost Always True,2: Fairly Often,41: Poor Health; Illness When I Have Pains I..,5: Never,"00: Inap,..",2: Gotten less than R Hoped for,02: Financial Security; Money; Be Rich; Well..,9: NA,9: NA,1: Yes,1: A Great Deal,99: NA,9: NA,"0: Inap,..",9: NA,9: NA,9: NA,9: NA,9: NA,9: NA,9: NA,9: NA,"0: Inap,..",0,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",9: NA,1: Married,9: NA,99: NA,9: NA,9: NA,9: NA,9: MD,9: NA,9: NA,9: NA,"0: Inap,..",9: NA,1916,9: NA,9: NA,9: NA,2,"11: 1-6 Grades, No Other Schooling; Grade ..",6,98: DK,98: DK,9: NA; DK,9: MD,"06: $4,000-4,999",99: NA,1: Male
